Designator,Mid X,Mid Y,Rotation,Layer
C1,72.71,-59.48,0.0,top
C2,72.09,-53.62,0.0,top
D1,93.24,-35.32,0.0,top
D13,101.8,-52.67,0.0,top
D2,101.77,-35.41,0.0,top
D3,109.67,-35.36,0.0,top
D4,93.2,-40.72,0.0,top
D5,101.79,-40.99,0.0,top
D6,109.69,-40.88,0.0,top
D7,93.14,-46.82,0.0,top
D8,101.73,-46.65,0.0,top
D9,109.72,-46.47,0.0,top
J2,103.165,-61.05,90.0,top
J3,110.34,-61.1,0.0,top
R1,62.93,-59.2,0.0,top
R2,82.35,-54.93,180.0,top
RV1,83.51,-42.11,270.0,top
U1,74.725,-41.93,0.0,top
U2,63.11,-46.74,0.0,top
